Code;School_Name;Street;Suburb;State;Postcode;Postal_Street;Postal_Suburb;Postal_State;Postal_Postcode;Latitude;Longitude;Phone;Education_Region;Broad_Classification;Classification_Group;Low_Year;High_Year;KIN;PPR;Y01;Y02;Y03;Y04;Y05;Y06;UPR;Y07;Y08;Y09;Y10;Y11;Y12;USE;Total_Students
4211;ALKIMOS COLLEGE;101 SANTORINI PROMENADE;ALKIMOS;WA;6038;101 SANTORINI PROMENADE;ALKIMOS;WA;6038;-31.629987;115.694233;08 9561 7300;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y10;;;;;;;;;;219;192;178;185;;;;774
5844;ALKIMOS PRIMARY SCHOOL;340 BENENDEN AVENUE;ALKIMOS;WA;6038;340 BENENDEN AVENUE;ALKIMOS;WA;6038;-31.62699105;115.70265726;08 9562 9800;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;85;75;93;95;79;79;73;79;;;;;;;;;658
1277;ALL SAINTS' COLLEGE;28 EWING AVENUE;BULL CREEK;WA;6149;28 EWING AVENUE;BULL CREEK;WA;6149;-32.04946998;115.86702296;08 9313 9333;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;96;47;50;48;53;54;83;79;;140;141;136;169;187;132;;1,415
5006;ALLANSON PRIMARY SCHOOL;CAMERON STREET;ALLANSON;WA;6225;CAMERON STREET;ALLANSON;WA;6225;-33.33580893;116.099005;08 9735 2800;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;17;10;12;9;14;8;10;20;;;;;;;;;100
5007;ALLENDALE PRIMARY SCHOOL;52 WITTENOOM STREET;GERALDTON;WA;6530;52 WITTENOOM STREET;GERALDTON;WA;6530;-28.76430303;114.6237354;08 9923 6600;MIDWEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;33;40;36;45;53;56;40;45;;;;;;;;;348
1478;ALTA-1 COLLEGE;12 WINTON ROAD;JOONDALUP;WA;6027;12 WINTON ROAD;JOONDALUP;WA;6027;-31.78537164;115.8133126;08 9403 8200;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;Y07;Y12;;;;;;;;;;30;70;155;226;495;55;;1,031
1545;ALTA-1 KIMBERLEY COLLEGE;LOT 579 PACKSADDLE ROAD;KUNUNURRA;WA;6743;LOT 579 PACKSADDLE ROAD;KUNUNURRA;WA;6743;-15.795972;128.688089;08 9403 8200;KIMBERLEY;NON-GOVT SCHOOLS;NON-GOVERNMENT;Y07;Y11;;;;;;;;;;6;9;10;6;5;;;36
5008;AMAROO PRIMARY SCHOOL;79 JONES STREET;COLLIE;WA;6225;79 JONES STREET;COLLIE;WA;6225;-33.35205078;116.14966304;08 9735 9400;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;49;38;41;47;41;40;41;44;;;;;;;;;341
5841;ANNE HAMERSLEY PRIMARY SCHOOL;16 DUNNETT DRIVE;ELLENBROOK;WA;6069;16 DUNNETT DRIVE;ELLENBROOK;WA;6069;-31.74539641;116.00871729;08 9297 7000;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;80;84;103;87;108;57;82;72;;;;;;;;;673
5509;ANZAC TERRACE PRIMARY SCHOOL;176 ANZAC TERRACE;BASSENDEAN;WA;6054;176 ANZAC TERRACE;BASSENDEAN;WA;6054;-31.89719261;115.93725306;08 9352 2600;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;42;48;43;44;41;47;51;52;;;;;;;;;368
5010;APPLECROSS PRIMARY SCHOOL;65 KINTAIL ROAD;APPLECROSS;WA;6153;65 KINTAIL ROAD;APPLECROSS;WA;6153;-32.01084327;115.83959838;08 6274 1850;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;60;52;71;68;89;85;88;82;;;;;;;;;595
4002;APPLECROSS SENIOR HIGH SCHOOL;LINKS ROAD;ARDROSS;WA;6153;LINKS ROAD;ARDROSS;WA;6153;-32.029376;115.83509;08 9314 9393;SOUTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;323;323;305;302;329;271;;1,853
1107;AQUINAS COLLEGE;58 MT HENRY ROAD;SALTER POINT;WA;6152;58 MT HENRY ROAD;SALTER POINT;WA;6152;-32.02617519;115.8617538;08 9450 0600;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;14;15;32;13;37;53;58;70;;144;171;162;187;199;181;;1,336
1100;ARANMORE CATHOLIC COLLEGE;41 FRANKLIN STREET;LEEDERVILLE;WA;6007;41 FRANKLIN STREET;LEEDERVILLE;WA;6007;-31.92706854;115.8431695;08 9201 5200;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;Y07;Y12;;;;;;;;;;100;120;140;124;147;105;;736
1241;ARANMORE CATHOLIC PRIMARY SCHOOL;20 BRENTHAM STREET;LEEDERVILLE;WA;6007;20 BRENTHAM STREET;LEEDERVILLE;WA;6007;-31.92790363;115.83923406;08 6318 7800;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y06;20;24;32;25;38;36;38;43;;;;;;;;;256
5792;ARBOR GROVE PRIMARY SCHOOL;BROOKMOUNT DRIVE;ELLENBROOK;WA;6069;BROOKMOUNT DRIVE;ELLENBROOK;WA;6069;-31.77105084;115.962637;08 6497 4800;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;60;74;69;78;84;83;87;91;;;;;;;;;626
5012;ARDROSS PRIMARY SCHOOL;46 LINKS ROAD;ARDROSS;WA;6153;46 LINKS ROAD;ARDROSS;WA;6153;-32.0274405;115.8346577;08 9263 1350;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;36;58;48;50;48;53;69;52;;;;;;;;;414
6050;ARMADALE EDUCATION SUPPORT CENTRE;169 SOUTH WESTERN HIGHWAY;ARMADALE;WA;6112;PO BOX 189;ARMADALE;WA;6992;-32.16152603;116.01435232;08 9497 6435;SOUTH METROPOLITAN;Education Support Centres;EDUCATION SUPPORT;Y07;Y12;;;;;;;;;;13;9;15;10;9;14;;70
5014;ARMADALE PRIMARY SCHOOL;1 CARRADINE ROAD;ARMADALE;WA;6112;1 CARRADINE ROAD;ARMADALE;WA;6112;-32.14823967;116.0264848;08 9391 4500;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;41;51;64;61;58;60;59;51;;;;;;;;;445
4003;ARMADALE SENIOR HIGH SCHOOL;169 SOUTH WESTERN HIGHWAY;ARMADALE;WA;6112;PO BOX 189;ARMADALE;WA;6992;-32.16152603;116.01435232;08 9497 6400;SOUTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;115;124;136;125;105;77;;682
5676;ASHBURTON DRIVE PRIMARY SCHOOL;6 NULLAGINE WAY;GOSNELLS;WA;6110;6 NULLAGINE WAY;GOSNELLS;WA;6110;-32.0862307;115.98419759;08 9234 6300;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;40;49;61;48;61;53;59;64;;;;;;;;;435
5786;ASHDALE PRIMARY SCHOOL;51 ASHDALE BOULEVARD;DARCH;WA;6065;51 ASHDALE BOULEVARD;DARCH;WA;6065;-31.80875751;115.8437538;08 6207 4500;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;66;78;80;83;101;87;112;120;;;;;;;;;727
4181;ASHDALE SECONDARY COLLEGE;75 WESTPORT PARADE;DARCH;WA;6065;75 WESTPORT PARADE;DARCH;WA;6065;-31.81162275;115.84149519;08 6207 1300;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;304;337;297;332;315;241;;1,826
5015;ASHFIELD PRIMARY SCHOOL;65 MARGARET STREET;ASHFIELD;WA;6054;65 MARGARET STREET;ASHFIELD;WA;6054;-31.91530992;115.94090176;08 6216 1300;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;21;17;13;14;16;16;10;15;;;;;;;;;122
5854;ASPIRI PRIMARY SCHOOL;30 SUNRAY AVENUE;PIARA WATERS;WA;6112;30 SUNRAY AVENUE;PIARA WATERS;WA;6112;-32.138988;115.912209;08 9397 8300;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;118;123;116;137;135;106;106;63;;;;;;;;;904
1287;ASSUMPTION CATHOLIC PRIMARY SCHOOL;22-34 GORDON ROAD;MANDURAH;WA;6210;22-34 GORDON ROAD;MANDURAH;WA;6210;-32.50994328;115.7464321;08 9583 8500;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y06;51;48;54;56;54;52;52;61;;;;;;;;;428
1519;ATLANTIS BEACH BAPTIST COLLEGE;800 BREAKWATER DRIVE;TWO ROCKS;WA;6037;800 BREAKWATER DRIVE;TWO ROCKS;WA;6037;-31.473535;115.644623;08 9544 3000;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y10;17;20;19;21;21;26;31;33;;34;22;23;10;;;;277
5016;ATTADALE PRIMARY SCHOOL;WICHMANN ROAD;ATTADALE;WA;6156;WICHMANN ROAD;ATTADALE;WA;6156;-32.02544682;115.8018145;08 6274 1700;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;60;46;51;55;64;62;45;38;;;;;;;;;421
4184;ATWELL COLLEGE;201 BRENCHLEY DRIVE;ATWELL;WA;6164;201 BRENCHLEY DRIVE;ATWELL;WA;6164;-32.14395682;115.86414624;08 6174 2200;SOUTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;141;143;204;180;225;161;;1,054
5765;ATWELL PRIMARY SCHOOL;160 LYDON BOULEVARD;ATWELL;WA;6164;160 LYDON BOULEVARD;ATWELL;WA;6164;-32.13527555;115.86782796;08 6174 2400;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;42;64;71;81;78;67;71;84;;;;;;;;;558
5820;AUBIN GROVE PRIMARY SCHOOL;85 CAMDEN BOULEVARD;AUBIN GROVE;WA;6164;85 CAMDEN BOULEVARD;AUBIN GROVE;WA;6164;-32.17306065;115.86235222;08 6174 6500;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;99;120;120;119;151;124;142;144;;;;;;;;;1,019
5017;AUGUSTA PRIMARY SCHOOL;32 ALLNUTT TERRACE;AUGUSTA;WA;6290;PO BOX 106;AUGUSTA;WA;6290;-34.31671839;115.1595029;08 9781 5100;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;14;14;15;10;18;18;8;8;;;;;;;;;105
1487;AUSTIN COVE BAPTIST COLLEGE;INLET BOULEVARD;SOUTH YUNDERUP;WA;6208;INLET BOULEVARD;SOUTH YUNDERUP;WA;6208;-32.59324476;115.8065154;08 9520 8200;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;40;46;47;44;30;48;46;43;;83;79;77;58;37;34;;712
1491;AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS;10 NINTH ROAD;HILBERT;WA;6112;10 NINTH ROAD;HILBERT;WA;6112;-32.17468068;116.0042944;08 9391 1500;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y08;11;13;11;11;16;16;9;10;;14;7;;;;;;118
1438;AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS;26 BREWSTER ROAD;ALBANY;WA;6330;26 BREWSTER ROAD;ALBANY;WA;6330;-34.99550802;117.9227056;08 9892 5100;SOUTH WEST;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;5;12;22;24;30;39;46;52;;84;104;141;160;105;51;;875
1391;AUSTRALIAN ISLAMIC COLLEGE DIANELLA;81 CLEVELAND STREET;DIANELLA;WA;6059;81 CLEVELAND STREET;DIANELLA;WA;6059;-31.90293601;115.87444672;08 9375 9770;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y10;78;81;87;87;98;98;86;86;;74;66;60;42;;;;943
1441;AUSTRALIAN ISLAMIC COLLEGE KEWDALE;139 PRESIDENT STREET;KEWDALE;WA;6105;139 PRESIDENT STREET;KEWDALE;WA;6105;-31.97999061;115.9325273;08 9362 5340;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;70;86;90;112;91;117;121;155;;219;195;188;203;188;192;;2,027
1331;AUSTRALIAN ISLAMIC COLLEGE THORNLIE;17 TONBRIDGE WAY;THORNLIE;WA;6108;17 TONBRIDGE WAY;THORNLIE;WA;6108;-32.05402507;115.96113961;08 9493 2718;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y06;80;89;120;110;90;107;78;60;;;;;;;;;734
5629;AUSTRALIND PRIMARY SCHOOL;BARNES AVENUE;AUSTRALIND;WA;6233;PO BOX A630;AUSTRALIND;WA;6233;-33.28059897;115.7271368;08 9796 3900;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;20;19;21;21;28;18;16;28;;;;;;;;;171
4146;AUSTRALIND SENIOR HIGH SCHOOL;12 BREAK O'DAY DRIVE;AUSTRALIND;WA;6233;12 BREAK O'DAY DRIVE;AUSTRALIND;WA;6233;-33.27665965;115.72843646;08 9797 4400;SOUTH WEST;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;198;202;199;225;183;128;;1,135
5853;AVELEY NORTH PRIMARY SCHOOL;77 STRINESDALE BOULEVARD;AVELEY;WA;6069;77 STRINESDALE BOULEVARD;AVELEY;WA;6069;-31.778441;115.991854;08 9297 7800;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;91;101;100;100;104;89;75;49;;;;;;;;;709
5821;AVELEY PRIMARY SCHOOL;8 BOLERO ROAD;AVELEY;WA;6069;8 BOLERO ROAD;AVELEY;WA;6069;-31.79108088;115.9905586;08 9297 7350;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;80;98;84;89;74;76;79;101;;;;;;;;;681
4209;AVELEY SECONDARY COLLEGE;MAFFINA PARADE;ELLENBROOK;WA;6069;MAFFINA PARADE;ELLENBROOK;WA;6069;-31.767004;115.987559;08 6296 1000;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;300;299;258;265;209;148;;1,479
6041;AVONVALE EDUCATION SUPPORT CENTRE;HUTT STREET;NORTHAM;WA;6401;PO BOX 1061;NORTHAM;WA;6401;-31.64551218;116.6613138;08 9621 5250;WHEATBELT;Education Support Centres;EDUCATION SUPPORT;PPR;Y12;;3;4;3;6;2;3;3;;3;1;2;1;1;2;;34
5018;AVONVALE PRIMARY SCHOOL;HUTT STREET;NORTHAM;WA;6401;PO BOX 666;NORTHAM;WA;6401;-31.64551218;116.6613138;08 9621 5200;WHEATBELT;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;14;17;20;15;11;12;15;11;;;;;;;;;115
5020;BABAKIN PRIMARY SCHOOL;FARRAR STREET;BABAKIN;WA;6428;PO BOX 288;CORRIGIN;WA;6375;-32.12359155;118.0209226;08 9065 2400;WHEATBELT;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;2;;1;1;;2;1;1;;;;;;;;;8
5021;BADGINGARRA PRIMARY SCHOOL;MCNAMARA ROAD;BADGINGARRA;WA;6521;C/- POST OFFICE;BADGINGARRA;WA;6521;-30.4024941;115.550545;08 9652 8900;MIDWEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;7;5;3;1;2;;2;1;;;;;;;;;21
5022;BAKERS HILL PRIMARY SCHOOL;33 SAINT GEORGE STREET;BAKERS HILL;WA;6562;33 SAINT GEORGE STREET;BAKERS HILL;WA;6562;-31.75120467;116.4615984;08 9574 3100;WHEATBELT;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;16;15;23;18;27;19;23;22;;;;;;;;;163
5023;BALCATTA PRIMARY SCHOOL;387 MAIN STREET;BALCATTA;WA;6021;387 MAIN STREET;BALCATTA;WA;6021;-31.88093054;115.82727286;08 9253 4900;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;37;35;35;33;38;31;28;27;;;;;;;;;264
4004;BALCATTA SENIOR HIGH SCHOOL;31 POINCAIRE STREET;BALCATTA;WA;6021;31 POINCAIRE STREET;BALCATTA;WA;6021;-31.87551716;115.81224294;08 9345 8200;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;200;181;175;141;108;101;;906
5847;BALDIVIS GARDENS PRIMARY SCHOOL;NADINE PROMENADE;BALDIVIS;WA;6171;NADINE PROMENADE;BALDIVIS;WA;6171;-32.300823;115.810062;08 9523 7000;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;66;65;55;66;61;58;49;62;;;;;;;;;482
5024;BALDIVIS PRIMARY SCHOOL;214 FIFTY ROAD;BALDIVIS;WA;6171;214 FIFTY ROAD;BALDIVIS;WA;6171;-32.30718679;115.81747219;08 9523 5700;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;60;71;65;78;56;82;69;78;;;;;;;;;559
4190;BALDIVIS SECONDARY COLLEGE;STILLWATER DRIVE;BALDIVIS;WA;6171;PO BOX 4119;BALDIVIS;WA;6171;-32.334099;115.828418;08 9523 3600;SOUTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;202;218;241;216;195;205;;1,277
5580;BALER PRIMARY SCHOOL;BALER CLOSE;SOUTH HEDLAND;WA;6722;PO BOX 2621;SOUTH HEDLAND;WA;6722;-20.40461541;118.6124558;08 9172 8400;PILBARA;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;58;76;86;56;72;70;69;74;;;;;;;;;561
5025;BALGA PRIMARY SCHOOL;11 FERNHURST CRESCENT;BALGA;WA;6061;11 FERNHURST CRESCENT;BALGA;WA;6061;-31.86059553;115.84480009;08 9253 4500;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;33;30;35;28;23;33;13;19;;;;;;;;;214
4050;BALGA SENIOR HIGH SCHOOL;2 MARKHAM WAY;BALGA;WA;6061;2 MARKHAM WAY;BALGA;WA;6061;-31.85134146;115.8465042;08 9247 0222;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;102;85;84;131;80;87;;569
5027;BALINGUP PRIMARY SCHOOL;CNR BROCKMAN AND STEERE STS;BALINGUP;WA;6253;PO BOX 372;BALINGUP;WA;6253;-33.78633822;115.9822069;08 9782 5900;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;6;8;4;10;5;10;12;5;;;;;;;;;60
4158;BALLAJURA COMMUNITY COLLEGE;ILLAWARRA CRESCENT SOUTH;BALLAJURA;WA;6066;ILLAWARRA CRESCENT SOUTH;BALLAJURA;WA;6066;-31.84474671;115.8934345;08 9262 7777;NORTH METROPOLITAN;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;154;189;174;210;177;163;;1,067
5702;BALLAJURA PRIMARY SCHOOL;ILLAWARRA CRESCENT SOUTH;BALLAJURA;WA;6066;ILLAWARRA CRESCENT SOUTH;BALLAJURA;WA;6066;-31.83593382;115.892303;08 9338 2200;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;76;87;77;104;92;93;100;102;;;;;;;;;731
5609;BAMBARA PRIMARY SCHOOL;30 GOSSE ROAD;PADBURY;WA;6025;30 GOSSE ROAD;PADBURY;WA;6025;-31.79830122;115.7614207;08 6206 2150;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;42;42;36;32;31;22;23;14;;;;;;;;;242
5762;BANKSIA GROVE PRIMARY SCHOOL;14 VIRIDIAN DRIVE;BANKSIA GROVE;WA;6031;14 VIRIDIAN DRIVE;BANKSIA GROVE;WA;6031;-31.70254405;115.80896211;08 9233 6333    ;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;41;44;45;60;60;53;70;77;;;;;;;;;450
1577;BANKSIA MONTESSORI SCHOOL;17 CHATTON STREET;DIANELLA;WA;6059;17 CHATTON STREET;DIANELLA;WA;6059;-31.89277585;115.86928226;08 9275 5997;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;PPR;15;12;;;;;;;;;;;;;;;27
5701;BANKSIA PARK PRIMARY SCHOOL;HICKS STREET;LEEMING;WA;6149;HICKS STREET;LEEMING;WA;6149;-32.07166263;115.8754583;08 9266 6400;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;27;41;36;35;30;32;30;38;;;;;;;;;269
5817;BANNISTER CREEK PRIMARY SCHOOL;92 PURLEY CRESCENT;LYNWOOD;WA;6147;92 PURLEY CRESCENT;LYNWOOD;WA;6147;-32.0397245;115.92850215;08 9366 0900;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;80;57;75;80;72;71;60;70;;;;;;;;;565
5030;BASSENDEAN PRIMARY SCHOOL;70 WEST ROAD;BASSENDEAN;WA;6054;70 WEST ROAD;BASSENDEAN;WA;6054;-31.90747284;115.9534451;08 6216 1400;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;39;51;64;48;44;37;26;16;;;;;;;;;325
5519;BATEMAN PRIMARY SCHOOL;2 BARTLING CRESCENT;BATEMAN;WA;6150;2 BARTLING CRESCENT;BATEMAN;WA;6150;-32.05066001;115.84534145;08 6258 6900;SOUTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;43;39;41;48;51;54;52;53;;;;;;;;;381
5830;BAYNTON WEST PRIMARY SCHOOL;MARNIYARRA LOOP;BAYNTON;WA;6714;MARNIYARRA LOOP;BAYNTON;WA;6714;-20.75252283;116.79939;08 9187 6200;PILBARA;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;93;104;120;93;113;98;121;77;;;;;;;;;819
5031;BAYSWATER PRIMARY SCHOOL;MURRAY STREET;BAYSWATER;WA;6053;MURRAY STREET;BAYSWATER;WA;6053;-31.92081606;115.9117733;08 9462 6600;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;59;55;62;63;52;56;49;46;;;;;;;;;442
5190;BAYULU REMOTE COMMUNITY SCHOOL;GOGO STATION ROAD;VIA FITZROY CROSSING;WA;6765;PO BOX 76;FITZROY CROSSING;WA;6765;-18.28637;125.58345;08 9163 8650;KIMBERLEY;Remote Community Schools;PRIMARY SCHOOLS;KIN;Y07;7;9;7;8;6;10;6;6;;3;;;;;;;62
5032;BEACHLANDS PRIMARY SCHOOL;50 WHITFIELD STREET;GERALDTON;WA;6530;PO BOX 7170;GERALDTON PO;WA;6531;-28.78770753;114.6043717;08 9923 6900;MIDWEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;15;13;15;14;17;16;13;11;;;;;;;;;114
5033;BEACON PRIMARY SCHOOL;BROADBENT STREET;BEACON;WA;6472;C/- POST OFFICE;BEACON;WA;6472;-30.45065535;117.8688978;08 9686 0700;WHEATBELT;Primary Schools;PRIMARY SCHOOLS;KIN;Y05;1;6;3;4;4;2;3;;;;;;;;;;23
